Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,KV Cache Dtype,Latency,Throughput
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,1,auto,1.6487310342490673,155.27092938879386
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,1,fp8,2.0124915442429483,127.20550341308447
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,1,auto,3.367429496254772,152.0447571565915
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,1,fp8,4.603929563891143,111.20934690566129
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,1,auto,6.927289238199592,147.8211699828111
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,1,fp8,9.754389670211822,104.97837738911689
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,auto,13.968273356091231,146.61797831346965
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,fp8,19.61318833567202,104.4195347002886
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,1,auto,28.524794184602797,143.59437524744533
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,1,fp8,39.802139369770885,102.90904119367134
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,16,auto,2.0146783837117255,2033.0788443035606
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,16,fp8,2.657459894195199,1541.3214735421086
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,16,auto,4.350794400088489,1882.874538919464
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,16,fp8,6.57397723197937,1246.1253988148444
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,16,auto,10.02253535296768,1634.7161095469407
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,16,fp8,17.673493564128876,927.0379928309078
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,auto,24.99491272587329,1310.9867739638257
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,fp8,52.20407650480047,627.6904447679826
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,16,auto,86.70123212877661,755.8831448053694
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,16,fp8,176.34115164680406,371.6432573337328
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,32,auto,2.4550357181578875,3336.8149959735774
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,32,fp8,3.6459621670655906,2246.8691732457646
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,32,auto,5.5570430788211524,2948.330572142268
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,32,fp8,9.921427597291768,1651.3752521333026
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,32,auto,13.537972524762154,2420.451063854977
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,32,fp8,29.81331717595458,1099.1061412793229
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,auto,46.00654487591237,1424.4929754399502
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,fp8,99.6578030330129,657.6103225784576
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,32,auto,165.6255665421486,791.3754062036348
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,32,fp8,367.5204985537566,356.63861067827844
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,64,auto,3.325294726062566,4927.082063309335
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,64,fp8,5.4353829440660775,3014.323032728864
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,64,auto,7.8766627460718155,4160.1374917749
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,64,fp8,15.678273459896445,2090.026053175911
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,64,auto,25.798639225773513,2540.289021698781
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,64,fp8,49.440938639920205,1325.541177065844
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,auto,88.24309085588902,1485.3514165098256
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,auto,88.24214853998274,1485.367278207318
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,fp8,180.78970385808498,724.9970391172717
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,64,auto,316.2163481656462,829.0020472397555
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,64,fp8,704.4695892622694,372.1154241370744
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,1,auto,1.8136872490867972,141.14892197036593
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,1,fp8,2.1574238119646907,118.66004193532551
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,256,1,auto,3.6555161848664284,140.06229875814606
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,256,1,fp8,4.895358109846711,104.58887552478409
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,512,1,auto,7.345290701836348,139.40905017469174
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,512,1,fp8,10.36438170261681,98.79991198524263
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,auto,14.87345455866307,137.6949781183914
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,fp8,20.790749019011855,98.50534957289084
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,2048,1,auto,29.921171466819942,136.89303590743827
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,2048,1,fp8,41.761981506831944,98.07963732108654
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,16,auto,2.1424761498346925,1911.8065796513235
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,16,fp8,2.858008257113397,1433.1659083927843
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,256,16,auto,4.442166191525757,1844.145321628834
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,256,16,fp8,7.035507749766111,1164.3793584439354
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,512,16,auto,9.135003834031522,1793.5405718126888
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,512,16,fp8,18.02412870619446,909.0037175760519
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,auto,19.82253386825323,1653.0681807778153
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,fp8,52.34908778592944,625.9516905814639
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,2048,16,auto,45.9155810829252,1427.3150519785345
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,2048,16,fp8,173.35739336442202,378.03983278771364
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,32,auto,2.6106681004166603,3137.8940887555045
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,32,fp8,4.025614068843424,2034.9690407241635
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,256,32,auto,5.324554972350597,3077.064672086024
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,256,32,fp8,10.287015691399574,1592.6873732386537
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,512,32,auto,11.586630066856742,2828.087184187577
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,512,32,fp8,30.26938700582832,1082.545873614506
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,auto,26.232975291088223,2498.2297765615504
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,fp8,98.89914422761649,662.6548744362118
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,2048,32,auto,65.49136094748974,2001.363204302505
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,2048,32,fp8,351.5431236382574,372.8475717103625
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,64,auto,3.2715533087030053,5008.018654751914
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,64,fp8,5.834038084372878,2808.3464254178202
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,256,64,auto,6.926190788857639,4731.027631048631
